姓名,副科级,正科级,副处级,正处级,副厅级,正厅级,副部级,正部级,工作范围
尼玛卓玛,0,0,1985,1991,1996,2000,0,0,
张文魁,0,0,1992,1995,2001,2010,0,0,
索南东智,1989,1990,1997,1998,2006,2013,0,0,
白加扎西,0,0,1996,2001,2010,2013,0,0,
文国栋,0,1993,1996,2001,2009,2012,0,0,
徐广国,0,1990,0,1993,2003,2006,2011,0,"杜尔伯特蒙古族自治县,牡丹江市,大同区,绥芬河市,山西省,让胡路区,大庆市,黑龙江省"
彭友东,0,1988,1994,1995,0,2001,0,0,
赵永清,0,1991,1998,2003,2007,2013,0,0,"山东省,诸城市,昌乐县"
白尚成,0,0,0,0,1995,2006,0,0,
马廷礼,0,0,1991,0,2006,2011,2017,0,
李文章,0,0,1992,1994,0,2003,2016,0,辽宁省
马汉成,1993,1996,1997,0,2005,2007,0,0,
朱海仑,0,1986,0,1993,1996,2003,0,0,
芒力克·斯依提,0,0,0,1997,1998,2006,0,0,
艾则孜·木沙,1985,0,1993,2000,0,2001,0,0,"代县,山东省,宣武区"
彭家瑞,0,1981,1992,1995,2001,2004,0,0,代县
赵青,1983,1993,0,1998,2005,0,0,0,
肖怀远,0,0,1984,0,0,0,2001,0,天津市
张庆伟,0,0,0,0,0,1996,0,2011,"黑龙江省,河北省"
付志方,0,0,1987,1990,1991,1994,2001,0,"卢氏县,保定市,河北省,河南省,开封市,灵宝市,山东省,三门峡市"
陈政高,0,0,1976,0,1988,1993,0,1997,"辽宁省,大连市,长海县,西岗区,沈阳市"
殷一璀,0,0,0,0,0,0,0,0,"上海市,静安区"
李强,0,1984,1985,1988,0,1996,2005,2012,"永康市,浙江省,金华市,温州市,江苏省,上海市"
鹿心社,0,0,1986,0,1996,0,2010,2011,"南通市,江苏省,江西省"
刘伟,0,0,1982,0,1987,1994,2001,0,"砀山,蚌埠市,河南省,山东省,芜湖市,阜阳市,固镇县,安徽省"
谢伏瞻,0,0,0,0,0,0,2013,2013,"河南省,湖北省"
叶冬松,0,0,0,0,0,0,0,1977,"河北省,河南省,丰县,安徽省"
李鸿忠,0,0,1985,1987,1988,1995,2001,2007,"辽宁省,苏家屯区,湖北省,天津市,沈阳市"
王国生,0,1983,0,1985,1991,2000,2001,2010,"唐县,河南省,山东省,湖北省,东阿县,冠县,连云港市,江苏省,高唐县"
杜家毫,0,0,0,1985,0,1998,2004,2013,"湖南省,松江区,黑龙江省,浦东新区,杨浦区,上海市"
陈求发,0,0,1983,1991,0,0,2015,2015,"湖南省,辽宁省"
彭清华,0,0,1988,0,0,0,0,2018,湖北省
陈武,0,1982,1986,1992,0,2000,0,0,
张轩,0,0,1985,0,1992,0,2007,0,滦县
王东明,0,0,0,1983,1993,0,1997,2012,"辽宁省,辽阳市,绥中县,锦州市,太和区"
陈敏尔,1984,0,1990,1991,1996,1997,2002,2012,"绍兴市,浙江省,兴县,绍兴县,宁波市"
李纪恒,0,0,1985,1988,1991,1995,2006,2011,"内蒙古自治区,南县"
陈全国,0,0,1983,1988,1994,1996,1998,2009,"平舆县,河北省,河南省,平顶山市,遂平县,漯河市"
洛桑江村,0,0,0,0,0,1986,0,0,
帕巴拉·格列朗杰,0,0,0,0,0,0,0,0,
娄勤俭,0,0,0,0,0,0,2010,2012,江苏省
骆惠宁,0,1982,0,1985,0,1998,1999,2010,"郊区,山西省,马鞍山市,鞍山市,安徽省"
努尔兰·阿不都满金,0,0,0,0,2001,2002,0,0,
崔世安,0,0,0,0,0,0,0,0,
夏德仁,0,0,0,0,0,1998,2001,0,"大连市,辽宁省"
巴音朝鲁,0,1982,0,0,0,0,2001,2012,"伊金霍洛旗,浙江省,吉林省,鄂托克前旗,内蒙古自治区,宁波市"
吉林,0,0,0,0,0,0,0,0,"北京市,密云县,上海市"
汪先永,1992,1994,1998,2000,2003,2005,0,0,"北京市,密云县,丰台区"
胡衡华,0,0,0,0,0,2008,0,2013,"湖南省,长沙市,益阳市"
白玉刚,0,1990,0,0,2002,2010,0,0,"鄂尔多斯市,达拉特旗,赤峰市,内蒙古自治区"
刘忻,1993,1995,1995,0,2005,2012,2018,2018,"长春市,平房区,杭州市,牡丹江市,黑龙江省,哈尔滨市,吉林省"
缪瑞林,1987,1989,1991,1996,2001,2006,2013,0,"江苏省,宿迁市,南京市"
陈伟俊,0,0,0,0,0,2014,2018,0,"浙江省,宁海县,温州市,湖州市,鄞州区,余姚市,奉化市,宁波市"
